code_name,weather_name,Levenshtein_Distance
Miami International,"MIAMI INTERNATIONAL AIRPORT, FL US",1
Dubuque Regional,"DUBUQUE REGIONAL AIRPORT, IA US",1
Portland International,"PORTLAND INTERNATIONAL AIRPORT, OR US",1
Waco Regional,"WACO REGIONAL AIRPORT, TX US",1
San Diego International,"SAN DIEGO INTERNATIONAL AIRPORT, CA US",1
Denver International,"DENVER INTERNATIONAL AIRPORT, CO US",1
Grand Forks International,"GRAND FORKS INTERNATIONAL AIRPORT, ND US",1
San Jose Airport,"SAN JOSE, CA US",1
Northwest Florida Beaches International,"NORTHWEST FLORIDA BEACHES INTERNATIONAL AIRPORT, FL US",1
Atlantic City International,"ATLANTIC CITY INTERNATIONAL AIRPORT, NJ US",1
Rapid City Regional,"RAPID CITY REGIONAL AIRPORT, SD US",1
San Antonio International,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",1
Bangor International,"BANGOR INTERNATIONAL AIRPORT, ME US",1
St George Municipal,"ST GEORGE MUNICIPAL AIRPORT, UT US",1
Newark Liberty International,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",1
Los Angeles International,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",1
Hope Airport,"NOME AIRPORT, AK US",2
Rangely Airport,"WRANGELL AIRPORT, AK US",2
Kalamazoo/Battle Creek International,"KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT, MI US",2
Oita Airport,"SITKA AIRPORT, AK US",2
Yakutsk Airport,"YAKUTAT AIRPORT, AK US",2
Lethem Airport,"BETHEL AIRPORT, AK US",2
Baltimore/Washington International,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",2
Winchester Airport,"MANCHESTER AIRPORT, NH US",2
Ngoma Airport,"NOME AIRPORT, AK US",2
Chicago O'Hare International,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2
Njombe Airport,"NOME AIRPORT, AK US",2
Cleveland-Hopkins International,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",2
Reus Airport,"RENO AIRPORT, NV US",2
Belo Airport,"RENO AIRPORT, NV US",2
Savannah/Hilton Head International,"SAVANNAH HILTON HEAD INTERNATIONAL AIRPORT, GA US",2
Fayetteville Regional/Grannis Field,"FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD, NC US",2
Roma Airport,"NOME AIRPORT, AK US",2
Raleigh-Durham International,"RALEIGH DURHAM INTERNATIONAL AIRPORT, NC US",2
Gore Airport,"NOME AIRPORT, AK US",2
Cincinnati/Northern Kentucky International,"CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US",2
Homer Airport,"NOME AIRPORT, AK US",2
Togiak Airport,"KODIAK AIRPORT, AK US",2
Nema Airport,"NOME AIRPORT, AK US",2
Salinas Municipal,"SALINA MUNICIPAL AIRPORT, KS US",2
Wichita Dwight D Eisenhower National,"WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US",2
Goma Airport,"NOME AIRPORT, AK US",2
Komo Airport,"NOME AIRPORT, AK US",2
Elmira/Corning Regional,"ELMIRA CORNING REGIONAL AIRPORT, NY US",2
Melo Airport,"RENO AIRPORT, NV US",2
Bisha Airport,"BISHOP AIRPORT, CA US",2
Atka Airport,"SITKA AIRPORT, AK US",2
Prome Airport,"NOME AIRPORT, AK US",2
Gove Airport,"NOME AIRPORT, AK US",2
Akutan Airport,"YAKUTAT AIRPORT, AK US",2
La Guardia,"LAGUARDIA AIRPORT, NY US",2
Gode Airport,"NOME AIRPORT, AK US",2
Heho Airport,"RENO AIRPORT, NV US",2
Boma Airport,"NOME AIRPORT, AK US",2
Cyril E King,"CYRIL E. KING AIRPORT, VI US",2
Siuna Airport,"SITKA AIRPORT, AK US",2
Yorkton Airport,"STOCKTON AIRPORT, CA US",3
Wollaston,"WILLISTON AIRPORT, ND US",3
Sindal Airport,"SITKA AIRPORT, AK US",3
Moro Airport,"RENO AIRPORT, NV US",3
Booue Airport,"NOME AIRPORT, AK US",3
Ama Airport,"NOME AIRPORT, AK US",3
Sopu Airport,"NOME AIRPORT, AK US",3
Afton Municipal,"LAWTON MUNICIPAL AIRPORT, OK US",3
Orebro Airport,"RENO AIRPORT, NV US",3
Forde Airport,"NOME AIRPORT, AK US",3
Cooma Airport,"NOME AIRPORT, AK US",3
Epena Airport,"RENO AIRPORT, NV US",3
Duqm International,"GUAM INTERNATIONAL AIRPORT, GU GQ",3
Gan International,"GUAM INTERNATIONAL AIRPORT, GU GQ",3
Moro Airport,"NOME AIRPORT, AK US",3
Wakunai Airport,"YAKUTAT AIRPORT, AK US",3
Moree Airport,"NOME AIRPORT, AK US",3
Bonthe Airport,"BETHEL AIRPORT, AK US",3
Beihai Airport,"BETHEL AIRPORT, AK US",3
Soyo Airport,"RENO AIRPORT, NV US",3
Kudat Airport,"YAKUTAT AIRPORT, AK US",3
Noto,"NOME AIRPORT, AK US",3
Chita Airport,"SITKA AIRPORT, AK US",3
Bade Airport,"NOME AIRPORT, AK US",3
Baramita Airport,"LARAMIE AIRPORT, WY US",3
Maradi Airport,"LARAMIE AIRPORT, WY US",3
Ofu Airport,"NOME AIRPORT, AK US",3
Prerov Airport,"RENO AIRPORT, NV US",3
Drummond Airport,"REDMOND AIRPORT, OR US",3
Boku Airport,"NOME AIRPORT, AK US",3
Plattsburgh International,"PITTSBURGH INTERNATIONAL AIRPORT, PA US",3
Corozal Airport,"CORDOVA AIRPORT, AK US",3
Rostov Airport,"BRISTOL AIRPORT, TN US",3
Hot Springs Airport,"ROCK SPRINGS AIRPORT, WY US",3
Loreto International,"LAREDO INTERNATIONAL AIRPORT, TX US",3
Sao Jorge,"SAN JOSE, CA US",3
Kosrae Airport,"KODIAK AIRPORT, AK US",3
Comox Airport,"NOME AIRPORT, AK US",3
Jeremie Airport,"LARAMIE AIRPORT, WY US",3
Salta Airport,"SITKA AIRPORT, AK US",3
Beihan Airport,"BETHEL AIRPORT, AK US",3
Taba International,"TAMPA INTERNATIONAL AIRPORT, FL US",3
Nkan Airport,"NOME AIRPORT, AK US",3
Akita Airport,"YAKUTAT AIRPORT, AK US",3
Sivas Airport,"SITKA AIRPORT, AK US",3
Sebha Airport,"SITKA AIRPORT, AK US",3
Iki Airport,"SITKA AIRPORT, AK US",3
Bowen Airport,"NOME AIRPORT, AK US",3
