"id","name","code"
10194,"Fort Worth Alliance","AFW"
10195,"Afyon Airport","AFY"
10196,"Agadir/Inezgane","AGA"
10197,"Augsburg Airport","AGB"
10198,"Allegheny County","AGC"
10199,"Agen La Garenne","AGF"
10200,"Angoram Airport","AGG"
10201,"Angelholm","AGH"
10202,"Kagua Airport","AGK"
10203,"Wanigela Airport","AGL"
10204,"Angoon Seaplane Base","AGN"
10205,"Malaga Airport","AGP"
10206,"Agrinion Airport","AGQ"
10207,"Agra Airport","AGR"
10208,"Augusta Regional at Bush Field","AGS"
10209,"Guarani International","AGT"
10210,"Aguascalientes International","AGU"
10211,"Oswaldo Guevara Mujica","AGV"
10212,"Agatti Island Airport","AGX"
10213,"Naha AB","AHA"
10214,"Abha Airport","AHB"
10215,"Ardmore Airport","AHD"
10216,"Athens Municipal","AHN"
10217,"Alghero","AHO"
10218,"Ahuas Airport","AHS"
10219,"Amchitka","AHT"
10220,"Cherif El Idrissi International","AHU"
10221,"Alliance Municipal","AIA"
10222,"Anita Bay Airport","AIB"
10223,"Anderson Municipal-Darlington Field","AID"
10224,"Aiken Municipal","AIK"
10225,"Wainwright Airport","AIN"
10226,"Aitutaki Airport","AIT"
10227,"Bader Field","AIY"
10228,"Lee C Fine Memorial","AIZ"
10229,"Ajaccio Napoleon Bonaparte","AJA"
10230,"Al Jouf","AJF"
10231,"Akjoujt Airport","AJJ"
10232,"Lengpui","AJL"
10233,"Ouani","AJN"
10234,"Arvidsjaur Airport","AJR"
10235,"Santa Maria","AJU"
10236,"Mano Dayak","AJY"
10237,"Atka Airport","AKB"
10238,"Akron Fulton International","AKC"
10239,"Kufra","AKF"
10241,"Akiak Airport","AKI"
10242,"Asahikawa Airport","AKJ"
10243,"Akhiok Airport","AKK"
10244,"Auckland International","AKL"
10245,"King Salmon Airport","AKN"
10246,"Akron Washington County","AKO"
10247,"Anaktuvuk Pass Airport","AKP"
10248,"Akure Airport","AKR"
10249,"Auki Airport","AKS"
10250,"Akrotiri Airport","AKT"
10251,"Aktyubinsk Airport","AKX"
10252,"Akyab Airport","AKY"
10253,"Albertville Regional-Thomas J Brumlik Field","AL1"
10254,"Shelby County","AL2"
10255,"Huntsville Executive Airport Tom Sharp Jr","AL3"
10256,"Alma-Ata Airport","ALA"
10257,"Albany International","ALB"
10258,"Alicante Airport","ALC"
10259,"Alpine Casparis Municipal","ALE"
10260,"Alta Airport","ALF"
10261,"Houari Boumediene","ALG"
10262,"Albany Airport","ALH"
10263,"Alice International","ALI"
10264,"Alexander Bay Airport","ALJ"
10265,"Asela Airport","ALK"
10266,"Alamogordo White Sands Regional","ALM"
10267,"St. Louis Regional","ALN"
10268,"Waterloo Regional","ALO"
10269,"Aleppo International","ALP"
10270,"Alegrete Airport","ALQ"
10271,"Alexandra Airport","ALR"
10272,"Alamosa Municipal","ALS"
10273,"Alenquer Airport","ALT"
10274,"Alula Airport","ALU"
10275,"Walla Walla Regional","ALW"
10276,"Thomas C. Russell Field","ALX"
