AIRPORT_ID,AIRPORT,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,AIRPORT_WAC,AIRPORT_STATE_NAME,LATITUDE,LONGITUDE
10054,A41,Kogru River Airport,"Kogru River, AK",1,Alaska,70.57472222,-152.25888889
10054,A41,Kogru River Airport,"Kogru River, AK",1,Alaska,70.57611111,-152.27111111
10055,A42,Teshepkuk Lake Airport,"Teshepkuk Lake, AK",1,Alaska,70.35833333,-153.19666667
10056,A43,Trident Basin Seaplane Base,"Kodiak Island, AK",1,Alaska,57.78083333,-152.39111111
10058,A45,Lake Florence Airport,"Lake Florence, AK",1,Alaska,57.81666667,-134.58333333
10059,A46,Lake Hasselborg Airport,"Lake Hasselborg, AK",1,Alaska,57.70000000,-134.26666667
10060,A47,Distin Lake Airport,"Distin Lake, AK",1,Alaska,57.61666667,-134.36666667
10061,A48,Port Hobron Airport,"Port Hobron, AK",1,Alaska,57.15000000,-153.15000000
10062,A49,Mooseville Airstrip Airport,"Mooseville Airstrip, AK",1,Alaska,70.28444444,-152.21194444
10063,A50,Big Bay Airport,"Big Bay, AK",1,Alaska,58.56250000,-152.59611111
10064,A51,Wien Lake Airport,"Wien Lake, AK",1,Alaska,64.35277778,-151.27500000
10065,A52,Silver Salmon Creek Airport,"Silver Salmon Creek, AK",1,Alaska,59.96388889,-152.68222222
10066,A53,Blear Lake Airport,"Blear Lake, AK",1,Alaska,64.33333333,-147.50000000
10067,A54,Cannery Bay Airport,"Cannery Bay, AK",1,Alaska,53.68333333,-166.75000000
10069,A56,Johnsons Landing,"Bear Lake, AK",1,Alaska,56.03666667,-160.26611111
10070,A57,International Seafoods Airport,"International Seafoods, AK",1,Alaska,58.26666667,-157.53333333
10070,VZK,International Seafoods Airport,"International Seafoods, AK",1,Alaska,58.26666667,-157.53333333
10071,A58,Cosna River Airport,"Cosna River, AK",1,Alaska,64.50000000,-151.66666667
10072,A59,Ivatuk Airport,"Ivatuk, AK",1,Alaska,68.48777778,-155.75750000
