"origin_airport","latitude","longitude","total_flights","delayed_flights_count"
"BGR",44.80777778,-68.82777778,14,2.0
"RKS",41.59416667,-109.06527778,4,0.0
"ASE",39.22194444,-106.86833333,23,10.0
"BMI",40.48194444,-88.9275,3,1.0
"TYR",32.35472222,-95.39888889,4,1.0
"CHA",35.03638889,-85.20361111,13,1.0
"EGE",39.64361111,-106.91388889,10,3.0
"VPS",30.48333333,-86.52527778,24,10.0
"MHT",42.93833333,-71.43888889,19,3.0
"PNS",30.47333333,-87.1875,26,4.0
"MYR",33.67972222,-78.92833333,44,6.0
"RAP",44.04527778,-103.05694444,9,0.0
"SUN",43.50416667,-114.30833333,8,2.0
"JAN",32.31111111,-90.07583333,15,0.0
"SBP",35.23666667,-120.63916667,13,2.0
"IDA",43.51361111,-112.07083333,9,0.0
"DAB",29.1825,-81.05277778,6,0.0
"STT",18.33722222,-64.97333333,17,3.0
"AMA",35.22722222,-101.72194444,16,2.0
"ABR",45.44972222,-98.42166667,2,0.0
"YAK",59.50916667,-139.65972222,1,0.0
"LAR",41.31194444,-105.675,5,2.0
"CRP",27.77222222,-97.5025,8,1.0
"MTJ",38.50972222,-107.89416667,26,8.0
"MGM",32.30055556,-86.39388889,11,4.0
"BTR",30.53305556,-91.15,11,3.0
"LCH",30.13111111,-93.22555556,2,0.0
"ACT",31.61222222,-97.23027778,7,1.0
"BRO",25.91083333,-97.42888889,6,0.0
"KTN",55.35833333,-131.71666667,10,0.0
"ISP",40.79666667,-73.10083333,16,2.0
"BIS",46.77888889,-100.7525,14,2.0
"LIT",34.72944444,-92.22472222,28,6.0
"ROA",37.32555556,-79.97555556,5,1.0
"SGU",37.03638889,-113.51027778,11,1.0
"BET",60.78444444,-161.83138889,3,1.0
"PGD",26.91888889,-81.99083333,26,6.0
"EYW",24.55611111,-81.75944444,22,1.0
"JMS",46.93,-98.67833333,3,0.0
"RHI",45.63138889,-89.4575,5,0.0
"BLI",48.79444444,-122.53472222,13,3.0
"CHO",38.14138889,-78.45305556,5,1.0
"AZA",33.30777778,-111.65555556,12,3.0
"CRW",38.37611111,-81.59277778,6,1.0
"PVD",41.72833333,-71.42611111,38,4.0
"RDM",44.25444444,-121.15138889,14,2.0
"ATW",44.25805556,-88.51916667,14,2.0
"MLB",28.1025,-80.64305556,8,1.0
"GSO",36.10138889,-79.94111111,38,8.0
"TVC",44.74166667,-85.58166667,13,0.0
"SCK",37.89444444,-121.23861111,1,1.0
"BRD",46.39722222,-94.1375,6,2.0
"RST",43.91027778,-92.49638889,7,0.0
"ITH",42.49138889,-76.45861111,3,0.0
"GJT",39.11861111,-108.51388889,2,0.0
"GRI",40.96722222,-98.30666667,3,0.0
"PAE",47.90833333,-122.28138889,7,0.0
"HRL",26.22861111,-97.65444444,9,0.0
"CAK",40.915,-81.44361111,11,1.0
"GPT",30.40722222,-89.07,11,3.0
"MLU",32.51111111,-92.03888889,11,0.0
"ACY",39.4575,-74.57805556,11,2.0
"MVY",41.39333333,-70.61388889,5,3.0
"PLN",45.57083333,-84.79277778,2,1.0
"XWA",48.26083333,-103.75111111,3,0.0
"STX",17.70388889,-64.79888889,5,2.0
"BLV",38.54527778,-89.83527778,3,0.0
"SBN",41.70833333,-86.31722222,20,3.0
"CDV",60.49305556,-145.47,6,1.0
"JST",40.31666667,-78.83444444,3,0.0
"TXK",33.45638889,-93.98916667,6,0.0
"MFE",26.17694444,-98.23972222,19,4.0
"INL",48.56555556,-93.40222222,2,0.0
"ROW",33.30166667,-104.53055556,6,0.0
"STS",38.50972222,-122.81277778,9,0.0
"LAN",42.77916667,-84.58833333,4,0.0
"MOB",30.69138889,-88.24277778,18,2.0
"GNV",29.69,-82.27166667,6,0.0
"TRI",36.47611111,-82.40638889,5,1.0
"HDN",40.48166667,-107.22,7,0.0
"MHK",39.14222222,-96.66888889,1,0.0
"AZO",42.23638889,-85.55361111,6,2.0
"HLN",46.60694444,-111.98277778,3,1.0
"CKB",39.29777778,-80.2275,2,0.0
"FAY",34.99138889,-78.88027778,5,2.0
"DVL",48.11666667,-98.91,4,2.0
"FAI",64.81527778,-147.85666667,6,1.0
"PIB",31.4675,-89.33666667,4,0.0
"SPI",39.84416667,-89.67888889,3,1.0
"ORH",42.26916667,-71.87444444,5,0.0
"BIH",37.37333333,-118.365,3,1.0
"ACV",40.97777778,-124.10833333,8,2.0
"GFK",47.95194444,-97.17861111,5,1.0
"MDT",40.19305556,-76.76222222,13,3.0
"LRD",27.54472222,-99.46111111,3,0.0
"VEL",40.43611111,-109.51138889,2,2.0
"PRC",34.65472222,-112.41916667,4,3.0
"GTF",47.48555556,-111.36694444,8,1.0
"RIW",43.06444444,-108.45694444,3,0.0
"SLN",38.79055556,-97.65222222,4,1.0
"SHR",44.77416667,-106.97722222,1,0.0
"PSE",18.01083333,-66.56361111,3,0.0
"IMT",45.81833333,-88.11444444,3,1.0
"LBL",37.04444444,-100.96055556,3,1.0
"GTR",33.45027778,-88.59138889,9,0.0
"PVU",40.21916667,-111.72333333,5,0.0
"FNT",42.96666667,-83.74166667,7,1.0
"GRK",31.06722222,-97.82888889,7,2.0
"FLG",35.14027778,-111.66916667,3,0.0
"MCW",43.15777778,-93.33111111,3,0.0
"OME",64.5125,-165.44444444,1,0.0
"DEC",39.83444444,-88.86555556,4,2.0
"HYS",38.84222222,-99.27305556,3,1.0
"BQK",31.25888889,-81.46638889,2,2.0
"PBG",44.65083333,-73.46805556,4,4.0
"BJI",47.50944444,-94.93361111,2,0.0
"ELM",42.16083333,-76.89527778,1,0.0
"DDC",37.76305556,-99.96555556,4,0.0
"CMX",47.16833333,-88.48916667,1,1.0
"LCK",39.81388889,-82.92777778,4,3.0
"EAR",40.72694444,-99.00666667,1,0.0
"FSM",35.33666667,-94.36611111,2,0.0
"TBN",37.74166667,-92.14083333,2,0.0
"HIB",47.38861111,-92.83861111,2,1.0
"DRO",37.15,-107.75111111,5,2.0
"JLN",37.15305556,-94.49888889,1,0.0
"LBF",41.12833333,-100.69666667,1,0.0
"SPS",33.98888889,-98.49194444,2,0.0
"AKN",58.67777778,-156.65166667,3,2.0
"MKG",43.17055556,-86.2375,3,0.0
"DBQ",42.41,-90.71083333,2,0.0
"GUM",13.48388889,144.79722222,1,0.0
"GGG",32.38666667,-94.71527778,1,0.0
"YKM",46.56805556,-120.54416667,3,0.0
"APN",45.08166667,-83.55583333,1,0.0
"LBE",40.27638889,-79.40277778,3,1.0
"BTM",45.95472222,-112.4975,2,1.0
"EKO",40.825,-115.79138889,2,0.0
"SAF",35.6175,-106.08833333,1,0.0
